1.00e+00 auto rbf 0 0.973375
1.00e+00 auto poly-2 0 0.983875
1.00e+00 auto poly-3 0 0.983875
1.00e+00 auto poly-4 0 0.983875
1.00e+00 auto rbf 1 0.973375
1.00e+00 auto poly-2 1 0.985625
1.00e+00 auto poly-3 1 0.985625
1.00e+00 auto poly-4 1 0.985625
1.00e+01 auto rbf 0 0.984250
1.00e+01 auto poly-2 0 0.984500
1.00e+01 auto poly-3 0 0.984500
1.00e+01 auto poly-4 0 0.984500
1.00e+01 auto rbf 1 0.984250
1.00e+01 auto poly-2 1 0.984500
1.00e+01 auto poly-3 1 0.984500
1.00e+01 auto poly-4 1 0.984500
1.00e+02 auto rbf 0 0.984875
1.00e+02 auto poly-2 0 0.981250
1.00e+02 auto poly-3 0 0.981250
1.00e+02 auto poly-4 0 0.981250
1.00e+02 auto rbf 1 0.984875
1.00e+02 auto poly-2 1 0.980625
1.00e+02 auto poly-3 1 0.980625
1.00e+02 auto poly-4 1 0.980625
1.00e+03 auto rbf 0 0.983500
1.00e+03 auto poly-2 0 0.979375
1.00e+03 auto poly-3 0 0.979375
1.00e+03 auto poly-4 0 0.979375
1.00e+03 auto rbf 1 0.983500
1.00e+03 auto poly-2 1 0.980625
1.00e+03 auto poly-3 1 0.980625
1.00e+03 auto poly-4 1 0.980625
1.00e+04 auto rbf 0 0.983500
1.00e+04 auto poly-2 0 0.979375
1.00e+04 auto poly-3 0 0.979375
1.00e+04 auto poly-4 0 0.979375
1.00e+04 auto rbf 1 0.983500
1.00e+04 auto poly-2 1 0.980625
1.00e+04 auto poly-3 1 0.980625
1.00e+04 auto poly-4 1 0.980625
